,Thời gian,Tiêu đề,URL
116,14/01/2025 00:00,"PDR: Thông qua tiêu chí và phương pháp đánh giá hiệu quả hoạt động của HĐQT, thành viên HĐQT của Công ty năm 2025",https://cafef.vn/du-lieu/PDR-2115359/pdr-thong-qua-tieu-chi-va-phuong-phap-danh-gia-hieu-qua-hoat-dong-cua-hdqt-thanh-vien-hdqt-cua-cong-ty-nam-2025.chn?utm_source=du-lieu.chn
117,13/01/2025 00:00,PDR: Quyết định của HĐQT số 01/2025 ngày 13/01/2025,https://cafef.vn/du-lieu/PDR-2114673/pdr-quyet-dinh-cua-hdqt-so-012025-ngay-13012025.chn?utm_source=du-lieu.chn
118,08/01/2025 21:47,"Phát Đạt (PDR) lên tiếng về việc nhiều lãnh đạo bán cổ phiếu, khẳng định là giao dịch bình thường, phục vụ nhu cầu cá nhân",https://cafef.vn/phat-dat-pdr-len-tieng-ve-viec-nhieu-lanh-dao-ban-co-phieu-khang-dinh-la-giao-dich-binh-thuong-phuc-vu-nhu-cau-ca-nhan-188250108214936608.chn?utm_source=du-lieu.chn
119,06/01/2025 00:00,"PDR: Thông báo giao dịch cổ phiếu của Người nội bộ Trương Ngọc Dũng, Nguyễn Khắc Sinh, Bùi Quang Anh Vũ",https://cafef.vn/du-lieu/PDR-2111288/pdr-thong-bao-giao-dich-co-phieu-cua-nguoi-noi-bo-truong-ngoc-dung-nguyen-khac-sinh-bui-quang-anh-vu.chn?utm_source=du-lieu.chn
120,22/12/2024 08:44,Phát Đạt dự chi tối đa 650 tỷ đồng mua khu đất của một cá nhân,https://cafef.vn/phat-dat-du-chi-toi-da-650-ty-dong-mua-khu-dat-cua-mot-ca-nhan-188241222084407997.chn?utm_source=du-lieu.chn
121,20/12/2024 00:00,PDR: Nghị quyết HĐQT thông qua chủ trương đồng ý mua tài sản,https://cafef.vn/du-lieu/PDR-2102438/pdr-nghi-quyet-hdqt-thong-qua-chu-truong-dong-y-mua-tai-san.chn?utm_source=du-lieu.chn
122,18/12/2024 17:30,Phát Đạt (PDR) đã chi hơn 1.100 tỷ đồng cho 5 dự án,https://cafef.vn/phat-dat-pdr-da-chi-hon-1100-ty-dong-cho-5-du-an-188241217070409504.chn?utm_source=du-lieu.chn
123,18/12/2024 00:00,PDR: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán,https://cafef.vn/du-lieu/PDR-2100752/pdr-bao-cao-tien-do-su-dung-von-thu-duoc-tu-dot-chao-ban.chn?utm_source=du-lieu.chn
124,02/12/2024 00:00,PDR: Nghị quyết HĐQT thông qua giao dịch vay tiền giữa Công ty với các bên liên quan,https://cafef.vn/du-lieu/PDR-2092984/pdr-nghi-quyet-hdqt-thong-qua-giao-dich-vay-tien-giua-cong-ty-voi-cac-ben-lien-quan.chn?utm_source=du-lieu.chn
125,24/10/2024 00:00,PDR: Quyết định của HĐQT về việc dùng tài sản của công ty để đảm bảo cho khoản vay của công ty con,https://cafef.vn/du-lieu/PDR-2080802/pdr-quyet-dinh-cua-hdqt-ve-viec-dung-tai-san-cua-cong-ty-de-dam-bao-cho-khoan-vay-cua-cong-ty-con.chn?utm_source=du-lieu.chn
126,21/10/2024 00:00,PDR: Quyết định của HĐQT thông qua hồ sơ phát hành cổ phiếu để hoán đổi nợ,https://cafef.vn/du-lieu/PDR-2072551/pdr-quyet-dinh-cua-hdqt-thong-qua-ho-so-phat-hanh-co-phieu-de-hoan-doi-no.chn?utm_source=du-lieu.chn
127,15/10/2024 00:00,PDR: Miễn nhiệm bà Lê Trần Bích Thùy - Phó Tổng Giám đốc từ 15.10.2024,https://cafef.vn/du-lieu/PDR-2069864/pdr-mien-nhiem-ba-le-tran-bich-thuy-pho-tong-giam-doc-tu-15102024.chn?utm_source=du-lieu.chn
128,12/10/2024 07:49,"Loạt DN thép, BĐS, dệt may, bảo hiểm báo KQKD Q3/2024: Hòa Phát giữ doanh thu trên 30.000 tỷ, doanh thu Phát Đạt hơn 2 tỷ nhưng lãi 51 tỷ",https://cafef.vn/loat-dn-thep-bds-det-may-bao-hiem-bao-kqkd-q32024-hoa-phat-giu-doanh-thu-tren-30000-ty-doanh-thu-phat-dat-hon-2-ty-nhung-lai-51-ty-188241012074919411.chn?utm_source=du-lieu.chn
129,11/10/2024 21:20,"Phát Đạt (PDR) công bố BCTC quý 3/2024: Lãi sau thuế đạt 51 tỷ đồng, dự án Bắc Hà Thanh có diễn biến mới",https://cafef.vn/phat-dat-pdr-cong-bo-bctc-quy-32024-lai-sau-thue-dat-51-ty-dong-du-an-bac-ha-thanh-co-dien-bien-moi-188241011212231757.chn?utm_source=du-lieu.chn
130,11/10/2024 00:00,PDR: Giải trình KQKD HN và Cty mẹ quý 3/2024 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PDR-2067743/pdr-giai-trinh-kqkd-hn-va-cty-me-quy-32024-so-voi-cung-ky-nam-truoc.chn?utm_source=du-lieu.chn
131,02/10/2024 00:00,PDR: Đính chính về việc thay đổi nội dung Nghị quyết HĐQT số 23/024 ngày 30/09/2024,https://cafef.vn/du-lieu/PDR-2062628/pdr-dinh-chinh-ve-viec-thay-doi-noi-dung-nghi-quyet-hdqt-so-23024-ngay-30092024.chn?utm_source=du-lieu.chn
132,01/10/2024 00:00,PDR: Quyết định của HĐQT về việc điều chỉnh điều kiện khoản vay nước ngoài chuyển đổi,https://cafef.vn/du-lieu/PDR-2061992/pdr-quyet-dinh-cua-hdqt-ve-viec-dieu-chinh-dieu-kien-khoan-vay-nuoc-ngoai-chuyen-doi.chn?utm_source=du-lieu.chn
133,30/09/2024 00:00,PDR: Nghị quyết HĐQT thông qua chính sách tri ân khách hàng là cổ đông Công ty,https://cafef.vn/du-lieu/PDR-2061780/pdr-nghi-quyet-hdqt-thong-qua-chinh-sach-tri-an-khach-hang-la-co-dong-cong-ty.chn?utm_source=du-lieu.chn
