,time,open,high,low,close,volume
107,2024-05-07,13.41,13.45,13.22,13.33,14667054
108,2024-05-08,13.18,13.52,13.07,13.33,22967088
109,2024-05-09,13.41,13.48,13.1,13.14,17259007
110,2024-05-10,13.26,13.41,13.07,13.37,18470912
111,2024-05-13,13.41,13.56,13.26,13.37,17705986
112,2024-05-14,13.41,13.52,13.29,13.33,9988150
113,2024-05-15,13.33,13.83,13.33,13.6,27866630
114,2024-05-16,13.79,13.98,13.71,13.83,27152597
115,2024-05-17,13.87,14.06,13.75,13.9,20806759
116,2024-05-20,14.09,14.17,13.9,13.9,22187740
117,2024-05-21,13.9,14.02,13.67,13.94,20787311
118,2024-05-22,13.98,14.28,13.79,13.87,28472154
119,2024-05-23,13.83,14.02,13.45,14.02,29139132
120,2024-05-24,13.83,13.9,13.29,13.48,34739802
121,2024-05-27,13.48,13.67,13.33,13.64,11677849
122,2024-05-28,13.71,13.87,13.64,13.83,15174455
123,2024-05-29,13.83,14.02,13.64,13.71,18821838
124,2024-05-30,13.52,13.75,13.37,13.64,21948883
125,2024-05-31,13.64,13.9,13.64,13.71,16874268
126,2024-06-03,13.87,14.09,13.87,13.98,23345265
127,2024-06-04,14.02,14.21,13.9,13.9,17649925
128,2024-06-05,14.02,14.09,13.83,13.83,13277305
129,2024-06-06,13.87,13.98,13.71,13.79,11668803
130,2024-06-07,13.87,13.9,13.75,13.75,12234877
131,2024-06-10,13.83,14.06,13.79,13.9,14506885
132,2024-06-11,13.98,14.02,13.79,13.98,17094107
133,2024-06-12,14.06,14.67,14.02,14.51,50549806
134,2024-06-13,14.63,14.67,14.4,14.4,15167951
135,2024-06-14,14.51,14.63,13.87,13.87,32268883
136,2024-06-17,13.87,14.02,13.75,13.87,17134073
137,2024-06-18,13.98,14.06,13.83,13.87,13427962
138,2024-06-19,13.87,13.94,13.71,13.75,15754073
139,2024-06-20,13.83,13.83,13.41,13.41,22943982
140,2024-06-21,13.45,13.56,13.33,13.33,15263192
141,2024-06-24,13.33,13.41,12.65,12.72,33202065
142,2024-06-25,12.8,12.91,12.68,12.8,10808675
143,2024-06-26,12.8,12.99,12.72,12.8,7792678
144,2024-06-27,12.8,12.91,12.68,12.8,7152724
145,2024-06-28,12.8,12.87,12.34,12.49,15200895
146,2024-07-01,12.57,12.68,12.38,12.65,6411487
147,2024-07-02,12.72,12.84,12.68,12.84,5465127
148,2024-07-03,12.84,13.07,12.84,12.99,7898644
149,2024-07-04,13.03,13.18,12.87,12.91,6219958
150,2024-07-05,12.95,12.95,12.72,12.8,6756741
151,2024-07-08,12.91,12.99,12.76,12.8,6439917
152,2024-07-09,12.8,13.18,12.8,13.14,13008381
153,2024-07-10,13.14,13.18,12.95,12.95,6095907
